role_name,user_building_id,user_building_name,username,email,schoology_user_id,unique_user_id,action_type,item_type,item_id,item_name,course_name,course_code,section_name,last_event_timestamp,event_count,role_id,user_building_code,last_name,first_name,device_type,item_building_id,item_building_name,item_building_code,item_parent_type,group_id,group_name,course_id,section_id,section_school_code,section_code,month,date,timestamp,time spent (seconds)
Student,2908525646,Ed-Fi Alliance - Grand Bend High school,kyle.hughes,kyle.hughes@studentgps.org,100032891,604874,CREATE,SESSION,,,,,,2020-11-04 17:28:43.097,1,796380,,Hughes,Kyle,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,USER,,,,,,,11,11/04/2020,17:28,
Student,2908525646,Ed-Fi Alliance - Grand Bend High school,kyle.hughes,kyle.hughes@studentgps.org,100032891,604874,UPDATE,SESSION,,,,,,2020-11-04 17:28:43.113,1,796380,,Hughes,Kyle,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,USER,,,,,,,11,11/04/2020,17:28,
Student,2908525646,Ed-Fi Alliance - Grand Bend High school,kyle.hughes,kyle.hughes@studentgps.org,100032891,604874,SUBMIT,ASSIGNMENT,2942243563,Redundancy in War and Peace,English I,ENG-1,English I,2020-11-04 17:29:44.674,1,796380,,Hughes,Kyle,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,COURSE,,,2941242684,2941242697,,ENG-1-1,11,11/04/2020,17:29,
Student,2908525646,Ed-Fi Alliance - Grand Bend High school,kyle.hughes,kyle.hughes@studentgps.org,100032891,604874,READ,ASSIGNMENT,2942243563,Redundancy in War and Peace,English I,ENG-1,English I,2020-11-04 17:29:44.968,3,796380,,Hughes,Kyle,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,COURSE,,,2941242684,2941242697,,ENG-1-1,11,11/04/2020,17:29,
System Admin,2908525646,Ed-Fi Alliance - Grand Bend High school,stephen.fuqua,stephen.fuqua@ed-fi.org,99588912,111111,CREATE,SESSION,,,,,,2020-11-04 17:31:18.406,1,796378,,Fuqua,Stephen,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,USER,,,,,,,11,11/04/2020,17:31,
System Admin,2908525646,Ed-Fi Alliance - Grand Bend High school,stephen.fuqua,stephen.fuqua@ed-fi.org,99588912,111111,CREATE,ASSIGNMENT,3286588582,Vogon Poetry,English I,ENG-1,Section 1,2020-11-04 17:35:46.137,1,796378,,Fuqua,Stephen,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,COURSE,,,2941242684,3267169944,,dfghj,11,11/04/2020,17:35,
System Admin,2908525646,Ed-Fi Alliance - Grand Bend High school,stephen.fuqua,stephen.fuqua@ed-fi.org,99588912,111111,READ,ASSIGNMENT,3286588582,Vogon Poetry,English I,ENG-1,Section 1,2020-11-04 17:37:03.147,3,796378,,Fuqua,Stephen,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,COURSE,,,2941242684,3267169944,,dfghj,11,11/04/2020,17:37,660
Student,2908525646,Ed-Fi Alliance - Grand Bend High school,kyle.hughes,kyle.hughes@studentgps.org,100032891,604874,DELETE,SESSION,,,,,,2020-11-04 20:05:21.141,1,796380,,Hughes,Kyle,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,USER,,,,,,,11,11/04/2020,20:05,
Student,2908525646,Ed-Fi Alliance - Grand Bend High school,mary.archer,mary.archer@studentgps.org,100032890,604863,CREATE,SESSION,,,,,,2020-11-04 20:05:32.084,1,796380,,Archer,Mary,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,USER,,,,,,,11,11/04/2020,20:05,
Student,2908525646,Ed-Fi Alliance - Grand Bend High school,mary.archer,mary.archer@studentgps.org,100032890,604863,SUBMIT,ASSIGNMENT,2979142114,Mid-Term Exam,Algebra I ༼ つ ◕_◕ ༽つ,ALG-1,Algebra I,2020-11-04 20:06:02.197,1,796380,,Archer,Mary,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,COURSE,,,2942191514,2942191527,,ALG-1-1,11,11/04/2020,20:06,
Student,2908525646,Ed-Fi Alliance - Grand Bend High school,mary.archer,mary.archer@studentgps.org,100032890,604863,READ,ASSIGNMENT,2979142114,Mid-Term Exam,Algebra I ༼ つ ◕_◕ ༽つ,ALG-1,Algebra I,2020-11-04 20:06:02.983,2,796380,,Archer,Mary,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,COURSE,,,2942191514,2942191527,,ALG-1-1,11,11/04/2020,20:06,
