SourceSystemIdentifier,SourceSystem,UserRole,LocalUserIdentifier,SISUserIdentifier,Name,EmailAddress,CreateDate,LastModifiedDate,SourceCreateDate,SourceLastModifiedDate
100033951,BestLMS,student,lisa.woods,604822,Lisa Woods,Lisa.Woods@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033952,BestLMS,student,fannie.medina,604847,Fannie Medina,Fannie.Medina@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033953,BestLMS,student,robert.mckee,604849,Robert McKee,Robert.McKee@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033954,BestLMS,student,kyle.hughes,604874,Kyle Hughes,Kyle.Hughes@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033955,BestLMS,student,leonard.mata,604881,Leonard Mata,Leonard.Mata@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033956,BestLMS,student,luz.griffin,604905,Luz Griffin,Luz.Griffin@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033957,BestLMS,student,peter.nash,604918,Peter Nash,Peter.Nash@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033958,BestLMS,student,larry.mahoney,604927,Larry Mahoney,Larry.Mahoney@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033959,BestLMS,student,roland.phillips,604938,Roland Phillips,Roland.Phillips@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033960,BestLMS,student,terrance.rivers,604940,Terrance Rivers,Terrance.Rivers@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033961,BestLMS,student,dana.choi,604956,Dana Choi,Dana.Choi@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033962,BestLMS,student,stephen.caldwell,604969,Stephen Caldwell,Stephen.Caldwell@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033963,BestLMS,student,olivia.hardy,604974,Olivia Hardy,Olivia.Hardy@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033964,BestLMS,student,michael.turner,605015,Michael Turner,Michael.Turner@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033965,BestLMS,student,jim.beltran,605031,Jim Beltran,Jim.Beltran@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033966,BestLMS,student,sergio.herman,605042,Sergio Herman,Sergio.Herman@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033967,BestLMS,student,neil.miranda,605043,Neil Miranda,Neil.Miranda@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033968,BestLMS,student,joanne.lowe,605047,Joanne Lowe,Joanne.Lowe@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033969,BestLMS,student,edward.graves,605088,Edward Graves,Edward.Graves@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033970,BestLMS,student,laura.brady,605124,Laura Brady,Laura.Brady@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033971,BestLMS,student,roberto.holder,605129,Roberto Holder,Roberto.Holder@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033972,BestLMS,student,henrietta.marquez,605134,Henrietta Marquez,Henrietta.Marquez@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033973,BestLMS,student,thomas.mendoza,605135,Thomas Mendoza,Thomas.Mendoza@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033974,BestLMS,student,adrian.santos,605148,Adrian Santos,Adrian.Santos@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033975,BestLMS,student,rodney.herman,605173,Rodney Herman,Rodney.Herman@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033976,BestLMS,student,sonya.gross,605241,Sonya Gross,Sonya.Gross@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033977,BestLMS,student,heidi.carney,605257,Heidi Carney,Heidi.Carney@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033978,BestLMS,student,whitney.ryan,605262,Whitney Ryan,Whitney.Ryan@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033979,BestLMS,student,james.winters,605263,James Winters,James.Winters@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033980,BestLMS,student,jose.gay,605276,Jose Gay,Jose.Gay@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033981,BestLMS,student,shane.bridges,605303,Shane Bridges,Shane.Bridges@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033982,BestLMS,student,rene.terrell,605309,Rene Terrell,Rene.Terrell@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033983,BestLMS,student,christi.cortez,605316,Christi Cortez,Christi.Cortez@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033984,BestLMS,student,norman.black,605317,Norman Black,Norman.Black@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
