SourceSystemIdentifier,SourceSystem,UserRole,LocalUserIdentifier,SISUserIdentifier,Name,EmailAddress,CreateDate,LastModifiedDate,SourceCreateDate,SourceLastModifiedDate
100033951,Canvas,student,lisa.woods,604822,Lisa Woods,Lisa.Woods@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033952,Canvas,student,fannie.medina,604847,Fannie Medina,Fannie.Medina@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033953,Canvas,student,robert.mckee,604849,Robert McKee,Robert.McKee@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033954,Canvas,student,kyle.hughes,604874,Kyle Hughes,Kyle.Hughes@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033955,Canvas,student,leonard.mata,604881,Leonard Mata,Leonard.Mata@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033956,Canvas,student,luz.griffin,604905,Luz Griffin,Luz.Griffin@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033957,Canvas,student,peter.nash,604918,Peter Nash,Peter.Nash@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033958,Canvas,student,larry.mahoney,604927,Larry Mahoney,Larry.Mahoney@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033959,Canvas,student,roland.phillips,604938,Roland Phillips,Roland.Phillips@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033960,Canvas,student,terrance.rivers,604940,Terrance Rivers,Terrance.Rivers@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033961,Canvas,student,dana.choi,604956,Dana Choi,Dana.Choi@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033962,Canvas,student,stephen.caldwell,604969,Stephen Caldwell,Stephen.Caldwell@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033963,Canvas,student,olivia.hardy,604974,Olivia Hardy,Olivia.Hardy@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033964,Canvas,student,michael.turner,605015,Michael Turner,Michael.Turner@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033965,Canvas,student,jim.beltran,605031,Jim Beltran,Jim.Beltran@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033966,Canvas,student,sergio.herman,605042,Sergio Herman,Sergio.Herman@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033967,Canvas,student,neil.miranda,605043,Neil Miranda,Neil.Miranda@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033968,Canvas,student,joanne.lowe,605047,Joanne Lowe,Joanne.Lowe@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033969,Canvas,student,edward.graves,605088,Edward Graves,Edward.Graves@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033970,Canvas,student,laura.brady,605124,Laura Brady,Laura.Brady@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033971,Canvas,student,roberto.holder,605129,Roberto Holder,Roberto.Holder@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033972,Canvas,student,henrietta.marquez,605134,Henrietta Marquez,Henrietta.Marquez@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033973,Canvas,student,thomas.mendoza,605135,Thomas Mendoza,Thomas.Mendoza@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033974,Canvas,student,adrian.santos,605148,Adrian Santos,Adrian.Santos@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033975,Canvas,student,rodney.herman,605173,Rodney Herman,Rodney.Herman@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033976,Canvas,student,sonya.gross,605241,Sonya Gross,Sonya.Gross@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033977,Canvas,student,heidi.carney,605257,Heidi Carney,Heidi.Carney@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033978,Canvas,student,whitney.ryan,605262,Whitney Ryan,Whitney.Ryan@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033979,Canvas,student,james.winters,605263,James Winters,James.Winters@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033980,Canvas,student,jose.gay,605276,Jose Gay,Jose.Gay@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033981,Canvas,student,shane.bridges,605303,Shane Bridges,Shane.Bridges@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033982,Canvas,student,rene.terrell,605309,Rene Terrell,Rene.Terrell@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033983,Canvas,student,christi.cortez,605316,Christi Cortez,Christi.Cortez@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033984,Canvas,student,norman.black,605317,Norman Black,Norman.Black@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033985,Canvas,student,lillian.ellison,605328,Lillian Ellison,Lillian.Ellison@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033986,Canvas,student,walter.li,605332,Walter Li,Walter.Li@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033987,Canvas,student,noman.montes,605334,Norman Montes,Norman.Montes@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033988,Canvas,student,dwight.edwards,605339,Dwight Edwards,Dwight.Edwards@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033989,Canvas,student,theodore.velazquez,605346,Theodore Velazquez,Theodore.Velazquez@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033990,Canvas,student,matilda.wilkins,605349,Matilda Wilkins,Matilda.Wilkins@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033991,Canvas,student,bernadette.vance,605351,Bernadette Vance,Bernadette.Vance@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033992,Canvas,student,lucile.dickerson,605370,Lucile Dickerson,Lucile.Dickerson@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033993,Canvas,student,summer.velasquez,605374,Summer Velasquez,Summer.Velasquez@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033994,Canvas,student,iris.whitehead,605389,Iris Whitehead,Iris.Whitehead@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033995,Canvas,student,troy.choi,605391,Troy Choi,Troy.Choi@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033996,Canvas,student,julian.tyler,605393,Julian Tyler,Julian.Tyler@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033997,Canvas,student,kyle.wilkerson,605408,Kyle Wilkerson,Kyle.Wilkerson@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033998,Canvas,student,terrence.davidson,605447,Terrence Davidson,Terrence.Davidson@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
100033999,Canvas,student,gregory.conrad,605449,Gregory Conrad,Gregory.Conrad@studentgps.org,2020-08-20 00:00:00,2020-08-20 00:00:00,,
