sourcedId,status,dateLastModified,orgSourcedIds,role,username,userId,givenName,familyName,identifier,email,sms,phone,agents
604863,,,255901001,student,Mary Archer,,Mary,Archer,,Mary.Archer@studentgps.org,,(950) 336 6601,
604874,,,255901001,student,Kyle Hughes,,Kyle,Hughes,,Kyle.Hughes@studentgps.org,,(950) 413 3235,
604918,,,255901001,student,Peter Ivan Nash,,Peter,Nash,,Peter.Nash@studentgps.org,,(950) 434 7904,
604927,,,255901001,student,Larry Mahoney,,Larry,Mahoney,,Larry.Mahoney@studentgps.org,,(950) 064 8122,
604938,,,255901001,student,Roland Phillips,,Roland,Phillips,,Roland.Phillips@studentgps.org,,(950) 678 8343,
604969,,,255901001,student,Stephen Caldwell,,Stephen,Caldwell,,Stephen.Caldwell@studentgps.org,,(950) 321 0140,
604974,,,255901001,student,Olivia Doris Hardy,,Olivia,Hardy,,Olivia.Hardy@studentgps.org,,(950) 269 9777,
605015,,,255901001,student,Micheal Turner,,Micheal,Turner,,Micheal.Turner@studentgps.org,,(950) 017 9898,
207270,,,255901001,teacher,Kelley Heidi Christian,,Kelley,Christian,,Kelley.Christian@studentgps.org,,(950) 434 8722,
207268,,,255901001,teacher,Sara Stacy Preston,,Sara,Preston,,Sara.Preston@studentgps.org,,(950) 989 2211,
